ticker,name,naver_tab,asset_class,risk_type,region,nav,market_cap_억,return_3m_pct
456880,ACE 미국달러SOFR금리(합성),7,mixed_bond,안전자산,KRX,12920.0,3591,2.8672
453870,TIGER 인도니프티50,4,overseas_equity,위험자산,India,12168.0,3577,-15.5428
0046A0,TIGER 미국초단기(3개월이하)국채,6,bond_money_market,안전자산,KRX,10353.0,3565,2.9133
0060H0,TIGER 토탈월드스탁액티브,1,domestic_equity,위험자산,KRX,11847.0,3506,-2.7522
442320,RISE 글로벌원자력,4,overseas_equity,위험자산,Global,43247.0,3439,10.621
466950,TIGER 글로벌AI액티브,4,overseas_equity,위험자산,Global,25140.0,3415,6.063
437080,KODEX 미국종합채권ESG액티브(H),6,bond_money_market,안전자산,KRX,99365.0,3280,-1.2842
273140,KODEX 단기변동금리부채권액티브,6,bond_money_market,안전자산,KRX,114766.0,3271,0.6733
472870,RISE 미국30년국채엔화노출(합성 H),6,bond_money_market,안전자산,KRX,7964.0,3257,-2.6761
472170,TIGER 미국테크TOP10채권혼합,7,mixed_bond,안전자산,KRX,13388.0,3186,-5.0089
363570,KODEX 장기종합채권(AA-이상)액티브,6,bond_money_market,안전자산,KRX,91618.0,3159,-4.6836
421320,PLUS 우주항공&UAM,2,domestic_theme,위험자산,KRX,45834.0,3156,69.9558
439860,KODEX ESG종합채권(A-이상)액티브,6,bond_money_market,안전자산,KRX,112965.0,3153,-0.8342
228790,TIGER 화장품,2,domestic_theme,위험자산,KRX,3512.0,3139,4.3872
433500,ACE 원자력TOP10,2,domestic_theme,위험자산,KRX,68333.0,3079,66.1773
0038A0,KODEX 미국휴머노이드로봇,4,overseas_equity,위험자산,USA,15711.0,3045,-7.0928
385550,RISE 단기채권알파액티브,6,bond_money_market,안전자산,KRX,112697.0,3011,0.6071
290130,RISE ESG사회책임투자,2,domestic_theme,위험자산,KRX,33710.0,3004,42.7003
472160,TIGER 미국테크TOP10 INDXX(H),4,overseas_equity,위험자산,USA,16344.0,2998,-11.595
435420,TIGER 미국나스닥100채권혼합Fn,7,mixed_bond,안전자산,KRX,13368.0,2961,-2.8007
476760,ACE 미국30년국채액티브,6,bond_money_market,안전자산,KRX,10142.0,2958,0.7119
0094K0,TIGER 28-04 회사채(A+이상)액티브,6,bond_money_market,안전자산,KRX,98589.0,2940,-0.6753
481190,SOL 미국테크TOP10,4,overseas_equity,위험자산,USA,15570.0,2938,-9.0024
448300,TIGER 미국나스닥100(H),4,overseas_equity,위험자산,USA,19001.0,2925,-7.3413
245710,ACE 베트남VN30(합성),4,overseas_equity,위험자산,Vietnam,28291.0,2916,-10.66
0098F0,KODEX 원자력SMR,2,domestic_theme,위험자산,KRX,20010.0,2904,81.8181
458260,TIGER 미국투자등급회사채액티브(H),6,bond_money_market,안전자산,KRX,47712.0,2817,-1.82
488980,SOL 26-12 회사채(AA-이상)액티브,6,bond_money_market,안전자산,KRX,51459.0,2791,0.7243
244580,KODEX 바이오,2,domestic_theme,위험자산,KRX,12702.0,2783,2.5925
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),4,overseas_equity,위험자산,Global,11522.0,2779,4.4504
485540,KODEX 미국AI테크TOP10,4,overseas_equity,위험자산,USA,13920.0,2710,-9.3155
283580,KODEX 차이나CSI300,4,overseas_equity,위험자산,China,15619.0,2708,-0.255
